country,country_code,region,income_group,year,WBL INDEX,can_choose_residence,can_travel_domestic,can_apply_passport,can_travel_abroad,get_job,no_gender_discrimination_employment,sexual_harassment_legislation,sexual_harassment_penalties,no_gender_discrimination_credit,can_sign_contract,can_register_business,can_open_bank_account
Angola,AGO,Sub-Saharan Africa,Lower middle income,2021,73.1,1,1,1,1,1,1,0,0,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,79.4,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2023,79.4,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2024,79.4,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2015,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2016,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2017,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2018,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2019,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2020,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2021,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,66.3,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2023,68.8,0,1,1,1,1,1,0,0,0,1,1,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2024,68.8,0,1,1,1,1,1,0,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2015,73.1,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2016,73.1,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2017,73.1,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,73.1,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2019,76.3,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2020,76.3,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2021,76.3,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,79.4,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2023,79.4,1,1,1,1,1,1,1,0,0,1,1,1
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,79.4,1,1,1,1,1,1,1,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2015,82.5,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2016,82.5,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2017,82.5,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2018,82.5,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2019,85.0,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2020,85.0,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2021,85.0,1,1,1,1,1,1,0,0,0,1,1,1
