"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Belize","BLZ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.6150894165039","","","","","83.7570266723633","","","","","84.9447708129883","","","","80.1112887985941","81.4733581542969","","93.6934967041016","","","",
"Bermuda","BMU","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4443511962891","","","","","","","40.8945294261625","43.8","49.828540802002","41.5","","40","45.2","41.0239486694336","48.7","43.8707008361816","45.9159393310547","","54.2","52.8131217956543","58.9","55.2","56.2","56.8","58.1","58.8","62.9","68.4371795654297","64.1","69.5980433891887","65.9319305419922","66.2497787475586","",
"Brazil","BRA","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","29.2600002288818","","","","","","13.1999998092651","","","","15.9347896575928","","","","","","","","","","","","","","","64.8220147751764","66.120564390116","67.5165756331773","68.7428996328565","70.0131395664813","","66.9","68.2","69.2","69.2802505493164","71","73.094612121582","73.8994598388672","74.7647476196289","74.0604095458984","","76.0072174072266","78.4467468261719","76.7578582763672","77.5086669921875","78.176643371582","79.0865783691406","80.1887435913086","80.8342666625977","84.7","86.3","86.6","86.4","85.9","80.0950927734375","",
"Barbados","BRB","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.3916778564453","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.1144790649414","","","","","","86.9099453699925","87.9201164471733","87.8487977425109","88.2782728242983","89.6229821527817","89.0926136036388","89.8846105039495","","",
"Bhutan","BTN","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7237796783447","","","","","26.7455806732178","","","","","32.096118927002","","","",
"Botswana","BWA","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","3.54919004440308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.658725307722","","","59.452640989135","","","","","","","","","","","80.2276763916016","","","81.6643295288086","","",
"Central African Republic","CAF","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","2.91020011901856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3335609436035","","","","","","",
"Canada","CAN","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","81.0999984741211","","","","","","79.8630599975586","","","","","83.6508178710938","","","","","93.7005615234375","","","","","94.9454498291016","","85.1012937633829","84.7497922477621","85.0794999884051","85.6327669875767","86.1390192496235","86.8938469809292","87.3911542878957","87.8802929882783","88.6841752900357","89.0564980251533","89.3918918390993","89.7512372786029","90.2203607638926","90.490876945661","91.0618665878115","91.48168968678","92.010108913574","92.53315483505","92.8317631463316","93.0813615058198","93.3555109357648","93.6479060198526","93.8281544175651","94.2608028165959","94.6484958201251","94.9135023646643","94.8671510434083","95.2390657542978","95.6152419912899","95.9839471100049","96.0787485306805","96.2535010067567","",
"Central Europe and the Baltics","CEB","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.806560468291","99.6911487117592","99.7659772341602","99.579892377831","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.6634826660156","99.6171188354492","99.5366134643555","99.5868046250471","99.5941772460938","99.5351028442383","99.4877100682464","99.61261719257","99.6234282642644","99.6839764717311","99.5743935110147","",
"Channel Islands","CHI","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3","","","80.7","86.7249984741211","","81.4","88.7662963867188","84.6594161987305","83.5","83.8438568115234","79.6520233154297","86.4606307368662","84.712532043457","87.6175905480455","86.1319198608398","88.5190152929881","86.7673187255859","89.8469205486463","90.4671145052894","89.4","90.967418902389","89.8","91.4278680846542","91.7357324893817","",
"China","CHN","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","37.731128692627","","","","","","","","","","","","","","","","","","78.0539168486648","","","","","","","","","","","","","","","","","","","","93.7448577880859","","","","","",
"Cote d'Ivoire","CIV","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.135420666307","","29.4926605224609","","22.7309368852212","","","","","25.7843608856201","","","","",
"Cameroon","CMR","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8643894195557","","","26.41037940979","","","","","","","","52.9750785827637","","","","","","","",
"Congo, Dem. Rep.","COD","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.554539382822","","","","","","","","41.3660583496094","","","49.944580078125","","48.8806686401367","","54.9548234973978","","","53.7571792602539","","",
"Congo, Rep.","COG","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","17.7479400634766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.2519607543945","","","","","","","","","","",
"Colombia","COL","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5","69.9","71.4565124511719","72.1646728515625","69.8536987304688","71.5174865722656","72.0920333862305","72.0160522460938","72.5077819824219","73.3087463378906","73.8901519775391","75.0365295410156","76.0926818847656","76.388427734375","77.7140426635742","77.6","79.3738174438477","80.5773315429688","81.9578399658203","81.7","82.4","82.8","83.6072311401367","",
"Comoros","COM","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9803721985128","","","","","","","","41.7686805725098","","","",
"Cabo Verde","CPV","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4651718139648","","","","","","","","","44.4174385070801","",
